employee_id,employee_name,period,number_of_orders,revenue
4,"Margaret Peacock",2011-06,7,"$6,275.00"
8,"Laura Callahan",2011-06,6,"$2,970.80"
1,"Nancy Davolio",2011-06,29,"$2,331.45"
2,"Andrew Fuller",2011-06,6,"$2,173.50"
7,"Robert King",2011-06,1,$244.30
7,"Robert King",2011-05,23,"$35,721.40"
2,"Andrew Fuller",2011-05,46,"$32,681.05"
1,"Nancy Davolio",2011-05,25,"$18,343.20"
8,"Laura Callahan",2011-05,26,"$14,307.86"
3,"Janet Leverling",2011-05,24,"$14,298.95"
4,"Margaret Peacock",2011-05,21,"$10,130.21"
9,"Anne Dodsworth",2011-05,10,"$9,501.50"
6,"Michael Suyama",2011-05,14,"$5,340.00"
5,"Steven Buchanan",2011-05,1,$210.00
1,"Nancy Davolio",2011-04,21,"$24,847.45"
8,"Laura Callahan",2011-04,34,"$20,885.70"
3,"Janet Leverling",2011-04,25,"$18,358.35"
2,"Andrew Fuller",2011-04,22,"$14,350.56"
4,"Margaret Peacock",2011-04,30,"$8,835.39"
9,"Anne Dodsworth",2011-04,12,"$7,566.60"
7,"Robert King",2011-04,12,"$7,130.80"
6,"Michael Suyama",2011-04,16,"$5,206.00"
5,"Steven Buchanan",2011-04,6,"$2,644.60"
2,"Andrew Fuller",2011-03,7,"$26,056.90"
3,"Janet Leverling",2011-03,17,"$21,540.24"
9,"Anne Dodsworth",2011-03,11,"$19,325.51"
4,"Margaret Peacock",2011-03,32,"$14,848.45"
1,"Nancy Davolio",2011-03,22,"$11,586.90"
7,"Robert King",2011-03,14,"$6,795.55"
5,"Steven Buchanan",2011-03,15,"$5,872.40"
6,"Michael Suyama",2011-03,7,"$1,953.40"
8,"Laura Callahan",2011-03,4,$687.00
3,"Janet Leverling",2011-02,28,"$27,833.35"
4,"Margaret Peacock",2011-02,15,"$17,505.90"
5,"Steven Buchanan",2011-02,15,"$12,280.50"
8,"Laura Callahan",2011-02,17,"$11,511.75"
1,"Nancy Davolio",2011-02,22,"$8,712.13"
7,"Robert King",2011-02,10,"$6,610.00"
9,"Anne Dodsworth",2011-02,13,"$5,627.14"
2,"Andrew Fuller",2011-02,18,"$4,693.95"
6,"Michael Suyama",2011-02,7,"$1,975.60"
4,"Margaret Peacock",2011-01,24,"$18,843.25"
3,"Janet Leverling",2011-01,30,"$18,494.00"
1,"Nancy Davolio",2011-01,21,"$16,077.25"
6,"Michael Suyama",2011-01,11,"$7,999.91"
2,"Andrew Fuller",2011-01,11,"$7,834.75"
8,"Laura Callahan",2011-01,6,"$4,728.10"
9,"Anne Dodsworth",2011-01,5,"$1,941.50"
7,"Robert King",2011-01,4,$928.00
5,"Steven Buchanan",2011-01,2,$629.50
3,"Janet Leverling",2010-12,19,"$9,668.06"
4,"Margaret Peacock",2010-12,21,"$7,972.55"
9,"Anne Dodsworth",2010-12,9,"$7,398.05"
6,"Michael Suyama",2010-12,12,"$6,566.05"
8,"Laura Callahan",2010-12,7,"$4,337.50"
1,"Nancy Davolio",2010-12,8,"$4,106.70"
2,"Andrew Fuller",2010-12,11,"$3,652.50"
7,"Robert King",2010-12,2,"$1,990.00"
5,"Steven Buchanan",2010-12,3,$509.75
1,"Nancy Davolio",2010-11,19,"$12,920.15"
8,"Laura Callahan",2010-11,19,"$11,598.17"
4,"Margaret Peacock",2010-11,17,"$10,708.73"
2,"Andrew Fuller",2010-11,5,"$10,164.80"
3,"Janet Leverling",2010-11,18,"$8,572.75"
5,"Steven Buchanan",2010-11,9,"$8,365.20"
6,"Michael Suyama",2010-11,11,"$6,690.90"
7,"Robert King",2010-11,3,$642.00
9,"Anne Dodsworth",2010-11,2,$378.00
7,"Robert King",2010-10,13,"$13,839.29"
9,"Anne Dodsworth",2010-10,5,"$10,412.40"
2,"Andrew Fuller",2010-10,19,"$9,622.25"
1,"Nancy Davolio",2010-10,20,"$8,461.50"
4,"Margaret Peacock",2010-10,15,"$8,147.63"
3,"Janet Leverling",2010-10,10,"$3,595.50"
8,"Laura Callahan",2010-10,4,"$2,891.40"
5,"Steven Buchanan",2010-10,6,"$2,091.70"
6,"Michael Suyama",2010-10,3,$671.35
4,"Margaret Peacock",2010-09,26,"$16,766.79"
7,"Robert King",2010-09,7,"$7,853.05"
3,"Janet Leverling",2010-09,11,"$5,881.80"
1,"Nancy Davolio",2010-09,8,"$5,119.10"
8,"Laura Callahan",2010-09,13,"$4,756.50"
6,"Michael Suyama",2010-09,6,"$3,982.25"
5,"Steven Buchanan",2010-09,7,"$3,636.70"
9,"Anne Dodsworth",2010-09,4,"$1,928.00"
2,"Andrew Fuller",2010-09,2,$57.50
1,"Nancy Davolio",2010-08,23,"$19,997.88"
2,"Andrew Fuller",2010-08,6,"$10,320.00"
5,"Steven Buchanan",2010-08,5,"$6,475.40"
7,"Robert King",2010-08,12,"$6,144.60"
4,"Margaret Peacock",2010-08,11,"$6,104.80"
8,"Laura Callahan",2010-08,11,"$3,984.10"
6,"Michael Suyama",2010-08,4,"$1,301.00"
3,"Janet Leverling",2010-08,4,"$1,109.15"
9,"Anne Dodsworth",2010-08,1,$28.00
2,"Andrew Fuller",2010-07,8,"$7,058.60"
1,"Nancy Davolio",2010-07,12,"$6,112.65"
3,"Janet Leverling",2010-07,13,"$5,871.60"
4,"Margaret Peacock",2010-07,13,"$4,232.40"
6,"Michael Suyama",2010-07,7,"$4,228.30"
9,"Anne Dodsworth",2010-07,8,"$3,761.50"
5,"Steven Buchanan",2010-07,6,"$3,124.90"
8,"Laura Callahan",2010-07,6,"$2,616.05"
7,"Robert King",2010-07,3,"$2,082.00"
3,"Janet Leverling",2010-06,16,"$18,639.80"
1,"Nancy Davolio",2010-06,16,"$9,168.25"
4,"Margaret Peacock",2010-06,16,"$7,573.20"
7,"Robert King",2010-06,13,"$6,041.25"
5,"Steven Buchanan",2010-06,6,"$5,127.50"
8,"Laura Callahan",2010-06,9,"$4,792.60"
2,"Andrew Fuller",2010-06,11,"$4,589.60"
6,"Michael Suyama",2010-06,7,$751.70
9,"Anne Dodsworth",2010-06,2,$139.80
4,"Margaret Peacock",2010-05,21,"$14,333.15"
2,"Andrew Fuller",2010-05,11,"$14,019.30"
3,"Janet Leverling",2010-05,14,"$10,297.35"
6,"Michael Suyama",2010-05,9,"$9,690.74"
7,"Robert King",2010-05,18,"$8,870.55"
8,"Laura Callahan",2010-05,8,"$1,105.80"
9,"Anne Dodsworth",2010-05,3,$611.00
1,"Nancy Davolio",2010-05,2,$240.00
3,"Janet Leverling",2010-04,9,"$11,599.40"
4,"Margaret Peacock",2010-04,13,"$5,644.80"
1,"Nancy Davolio",2010-04,14,"$5,493.90"
8,"Laura Callahan",2010-04,10,"$4,500.80"
2,"Andrew Fuller",2010-04,8,"$2,905.10"
5,"Steven Buchanan",2010-04,9,"$2,634.40"
9,"Anne Dodsworth",2010-04,3,"$1,770.80"
6,"Michael Suyama",2010-04,4,"$1,258.20"
7,"Robert King",2010-04,2,$704.00
4,"Margaret Peacock",2010-03,26,"$21,849.30"
3,"Janet Leverling",2010-03,27,"$12,814.80"
8,"Laura Callahan",2010-03,18,"$7,764.40"
7,"Robert King",2010-03,5,"$3,891.00"
1,"Nancy Davolio",2010-03,5,"$2,504.60"
2,"Andrew Fuller",2010-03,1,"$1,584.00"
6,"Michael Suyama",2010-03,8,"$1,351.60"
4,"Margaret Peacock",2010-02,15,"$17,301.10"
7,"Robert King",2010-02,9,"$13,703.40"
1,"Nancy Davolio",2010-02,8,"$7,331.60"
8,"Laura Callahan",2010-02,13,"$6,701.10"
3,"Janet Leverling",2010-02,13,"$5,244.40"
2,"Andrew Fuller",2010-02,9,"$3,150.20"
6,"Michael Suyama",2010-02,4,"$1,500.00"
9,"Anne Dodsworth",2010-02,3,"$1,208.50"
5,"Steven Buchanan",2010-01,7,"$13,227.60"
1,"Nancy Davolio",2010-01,23,"$9,557.00"
8,"Laura Callahan",2010-01,13,"$6,611.60"
4,"Margaret Peacock",2010-01,11,"$6,440.80"
2,"Andrew Fuller",2010-01,9,"$6,409.20"
6,"Michael Suyama",2010-01,10,"$5,782.40"
3,"Janet Leverling",2010-01,6,"$2,758.80"
9,"Anne Dodsworth",2010-01,2,$166.00
4,"Margaret Peacock",2009-12,19,"$13,603.40"
7,"Robert King",2009-12,7,"$11,717.40"
1,"Nancy Davolio",2009-12,11,"$10,261.20"
2,"Andrew Fuller",2009-12,7,"$4,759.00"
5,"Steven Buchanan",2009-12,6,"$4,106.40"
3,"Janet Leverling",2009-12,8,"$3,838.00"
6,"Michael Suyama",2009-12,7,"$2,299.80"
8,"Laura Callahan",2009-12,4,$704.80
4,"Margaret Peacock",2009-11,24,"$12,836.10"
9,"Anne Dodsworth",2009-11,6,"$6,244.40"
2,"Andrew Fuller",2009-11,7,"$5,725.70"
7,"Robert King",2009-11,11,"$4,577.20"
3,"Janet Leverling",2009-11,6,"$4,317.60"
1,"Nancy Davolio",2009-11,8,"$4,061.40"
5,"Steven Buchanan",2009-11,4,"$1,470.00"
8,"Laura Callahan",2009-11,4,$385.20
